ParticleType,Energy
pi+,221.365
pi+,221.365
2pi+,220.055
2pi+,220.055
2pi+,220.055
pi-,172.663
pi-,172.663
pi-,172.663
2mu-,102.911
2mu-,102.911
2mu-,102.911
pi-,384.163
pi-,384.163
2pi-,383.068
2pi-,383.068
mu-,164.043
mu-,164.043
mu-,164.043
2mu-,161.401
2mu-,161.401
2mu-,161.401
pi+,455.778
pi+,455.778
2mu+,313.199
2mu+,313.199
pi+,142.677
pi+,142.677
pi+,142.677
2mu+,136.732
2mu+,136.732
2mu+,136.732
pi+,606.601
pi+,606.601
2mu+,604.996
2mu+,604.996
pi+,222.179
pi+,222.179
pi+,222.179
2pi+,221.022
2pi+,221.022
2pi+,221.022
pi-,199.578
pi-,199.578
pi-,199.578
2mu-,127.796
2mu-,127.796
2mu-,127.796
pi+,522.156
pi+,522.156
2pi+,521.181
2pi+,521.181
pi+,462.013
pi+,462.013
2pi+,460.656
2pi+,460.656
pi-,403.604
pi-,403.604
2pi-,402.106
2pi-,402.106
pi+,2544.41
pi+,2544.41
2pi+,2543.36
2pi+,2543.36
pi+,727.32
pi+,727.32
2pi+,726.372
2pi+,726.372
pi+,791.256
pi+,791.256
2pi+,789.978
2pi+,789.978
pi-,276.511
pi-,276.511
2mu-,235.858
2mu-,235.858
2mu-,235.858
pi+,433.51
pi+,433.51
2mu+,397.843
2mu+,397.843
pi-,255.679
pi-,255.679
2mu-,135.421
2mu-,135.421
2mu-,135.421
pi-,1102.6
pi-,1102.6
2pi-,1101.51
2pi-,1101.51
pi+,665.274
pi+,665.274
2pi+,664.046
2pi+,664.046
pi-,641.788
pi-,641.788
2pi-,640.454
2pi-,640.454
mu+,344.878
mu+,344.878
2mu+,338.891
2mu+,338.891
mu+,118.895
mu+,118.895
mu+,118.895
2mu+,109.96
2mu+,109.96
2mu+,109.96
pi-,742.678
pi-,742.678
2pi-,740.721
2pi-,740.721
pi+,261.746
pi+,261.746
pi+,261.746
2mu+,174.761
2mu+,174.761
2mu+,174.761
pi-,434.328
pi-,434.328
2pi-,433.089
2pi-,433.089
pi-,318.822
pi-,318.822
2pi-,317.539
2pi-,317.539
pi+,420.406
pi+,420.406
2pi+,418.786
2pi+,418.786
pi+,544.054
pi+,544.054
2pi+,542.918
2pi+,542.918
pi-,588.112
pi-,588.112
2pi-,587.134
2pi-,587.134
pi+,558.066
pi+,558.066
2pi+,556.718
2pi+,556.718
pi+,336.475
pi+,336.475
2pi+,335.333
2pi+,335.333
pi-,456.492
pi-,456.492
2pi-,455.253
2pi-,455.253
pi-,119.615
pi-,119.615
pi-,119.615
2mu-,93.7018
2mu-,93.7018
2mu-,93.7018
pi-,369.32
pi-,369.32
2pi-,368.193
2pi-,368.193
pi-,361.466
pi-,361.466
pi-,361.466
2mu-,198.931
2mu-,198.931
2mu-,198.931
pi+,657.062
pi+,657.062
2pi+,655.459
2pi+,655.459
pi-,864.491
pi-,864.491
2pi-,863.411
2pi-,863.411
pi-,757.022
pi-,757.022
2pi-,756.134
2pi-,756.134
pi-,274.739
pi-,274.739
pi-,274.739
2mu-,209.212
2mu-,209.212
2mu-,209.212
pi-,1011.71
pi-,1011.71
2pi-,1010.71
2pi-,1010.71
pi+,382.917
pi+,382.917
2pi+,381.513
2pi+,381.513
pi+,241.127
pi+,241.127
pi+,241.127
2pi+,239.789
2pi+,239.789
2pi+,239.789
pi+,358.871
pi+,358.871
2pi+,357.933
2pi+,357.933
pi+,354.003
pi+,354.003
2pi+,352.757
2pi+,352.757
pi+,847.214
pi+,847.214
2pi+,846.168
2pi+,846.168
pi-,522.264
pi-,522.264
2pi-,521.187
2pi-,521.187
pi-,395.796
pi-,395.796
2pi-,394.743
2pi-,394.743
pi+,214.91
pi+,214.91
pi+,214.91
2pi+,213.617
2pi+,213.617
2pi+,213.617
pi-,303.748
pi-,303.748
pi-,303.748
2pi-,302.743
2pi-,302.743
2pi-,302.743
pi-,199.279
pi-,199.279
pi-,199.279
2mu-,223.298
2mu-,223.298
2mu-,223.298
pi-,567.188
pi-,567.188
pi-,567.188
2pi-,565.757
2pi-,565.757
2pi-,565.757
pi+,941.52
pi+,941.52
2pi+,939.612
2pi+,939.612
pi+,886.971
pi+,886.971
2pi+,886.011
2pi+,886.011
pi-,342.978
pi-,342.978
2pi-,341.941
2pi-,341.941
pi-,35.0696
pi-,35.0696
pi-,35.0696
2pi-,31.4265
2pi-,31.4265
2pi-,31.4265
pi-,230.457
pi-,230.457
2mu-,147.815
2mu-,147.815
2mu-,147.815
pi-,751.51
pi-,751.51
2pi-,750.621
2pi-,750.621
pi+,233.844
pi+,233.844
2pi+,225.493
2pi+,225.493
pi+,304.491
pi+,304.491
pi+,304.491
2pi+,303.13
2pi+,303.13
2pi+,303.13
pi+,972.224
pi+,972.224
2pi+,970.471
2pi+,970.471
pi-,1188.66
pi-,1188.66
2pi-,1187.77
2pi-,1187.77
pi-,214.573
pi-,214.573
pi-,214.573
2mu-,184.055
2mu-,184.055
2mu-,184.055
pi-,633.729
pi-,633.729
2pi-,632.69
2pi-,632.69
pi+,235.807
pi+,235.807
pi+,235.807
2pi+,234.739
2pi+,234.739
2pi+,234.739
pi-,662.866
pi-,662.866
2pi-,661.656
2pi-,661.656
pi-,782.532
pi-,782.532
2mu-,628.974
2mu-,628.974
pi+,569.453
pi+,569.453
pi+,569.453
2pi+,568.618
2pi+,568.618
2pi+,568.618
pi+,787.955
pi+,787.955
2pi+,787.077
2pi+,787.077
pi-,197.285
pi-,197.285
pi-,197.285
2mu-,139.987
2mu-,139.987
2mu-,139.987
