ParticleType	PosX_mm	PosY_mm	PosZ_mm
mu+	-24.4874	17.9198	857.049	
mu+	-24.4873	17.9198	857.049	
mu+	-24.4873	17.9198	857.049	
pi+	9.51755	-0.928006	208.693	
pi+	9.40959	-1.0284	208.639	
pi+	9.37658	-1.03994	208.631	
pi+	9.37614	-1.03983	208.631	
pi+	9.37614	-1.03983	208.631	
mu+	9.3231	-1.13142	208.701	
mu+	9.32874	-1.14378	208.706	
mu+	9.3288	-1.14375	208.706	
mu+	9.3288	-1.14375	208.706	
pi-	13.1404	-1.70823	206.824	
pi-	15.627	-2.91899	205.197	
pi-	17.5153	-4.32181	204.058	
pi-	19.1497	-5.44307	203.16	
pi-	20.6058	-5.92884	202.419	
pi-	21.6417	-6.1721	201.557	
pi-	22.1727	-6.3834	200.616	
pi-	22.4667	-6.46553	199.799	
pi-	22.7595	-6.5813	199.191	
pi-	23.0117	-6.65401	198.705	
pi-	23.1842	-6.76773	198.306	
pi-	23.4069	-6.84859	198.027	
pi-	23.529	-7.01539	197.819	
pi-	23.5896	-7.17058	197.682	
pi-	23.6063	-7.3048	197.647	
pi-	23.6105	-7.30912	197.654	
pi-	23.6106	-7.30913	197.654	
pi-	23.6106	-7.30913	197.654	
pi-	10.2666	-2.42323	208.962	
pi-	11.3901	-1.95098	212.086	
pi-	12.4329	-1.50514	214.587	
pi-	13.0677	-1.53851	216.716	
pi-	13.6066	-1.73123	218.327	
pi-	14.0137	-1.62517	219.588	
pi-	14.283	-1.4082	220.578	
pi-	14.6878	-1.34768	221.304	
pi-	15.0258	-1.17981	221.836	
pi-	15.3704	-0.958423	222.173	
pi-	15.6602	-0.818543	222.451	
pi-	15.8589	-0.669622	222.68	
pi-	15.9726	-0.489526	222.834	
pi-	16.0791	-0.401666	222.977	
pi-	16.128	-0.339772	223.042	
pi-	16.1272	-0.337587	223.042	
pi-	16.1271	-0.337594	223.042	
pi-	16.1271	-0.337594	223.042	
pi+	20.6994	-2.86164	205.8	
pi+	25	-3.69241	204.878	
pi+	-25	-7.2935	7.99808	
pi+	-18.4236	-5.88135	6.57702	
pi+	-15.6403	0.0144767	0.254825	
pi+	-15.5048	0.286182	1.7375e-14	
