ParticleType	PosX_mm	PosY_mm	PosZ_mm
pi0	0.401105	0.0584952	57.5244
pi0	0.401132	0.0584765	57.5243
pi0	0.401134	0.0584614	57.5243
pi-	0.624015	-0.933473	67.9354
pi+	-0.158855	0.663089	69.6104
pi+	-0.846825	2.25542	70.5041
pi+	-1.49358	3.40653	71.3883
pi+	-2.20121	4.25982	72.014
pi+	-2.86346	4.78274	72.575
pi+	-3.38701	5.22739	73.019
pi+	-3.76558	5.71159	73.2737
pi+	-4.08737	6.05436	73.5299
pi+	-4.28889	6.34091	73.7757
pi+	-4.40538	6.54535	74.0049
pi+	-4.48329	6.67504	74.2135
pi+	-4.50478	6.76979	74.3829
pi+	-4.52398	6.84064	74.486
pi+	-4.52541	6.84525	74.4944
pi+	-4.52548	6.84539	74.4945
pi+	-4.52548	6.84539	74.4945
mu+	-4.40411	6.87167	74.4778
mu+	-4.39183	6.88318	74.4764
mu+	-4.39162	6.88362	74.4763
mu+	-4.39162	6.88362	74.4763
mu+	-4.39162	6.88362	74.4763
pi0	0.624042	-0.933405	67.9353
pi0	0.624016	-0.933473	67.9354
pi0	0.624255	-0.933481	67.9355
pi+	453.473	571.952	245774
mu+	414.282	505.969	265388
mu+	451.104	571.624	284138
mu+	-57.996	632.783	374063
mu+	-2.47132	495.928	390795
mu+	-54.875	589.192	408265
mu+	115.342	414.489	424191
mu+	272.196	418.317	440207
mu+	265.881	416.898	456511
mu+	224.874	411.598	472694
mu+	290.257	422.967	488264
mu+	13.5616	513.188	504953
mu+	-2.3027	758.758	521242
mu+	-14.3315	725.034	536242
mu+	140.734	887.75	551870
mu+	694.798	710.797	567869
mu+	647.111	463.83	582991
mu+	375.981	388.974	597908
mu+	299.91	426.572	611903
mu+	701.594	781.216	704034
mu+	569.255	489.563	777284
mu+	465.589	494.778	835017
mu+	519.352	763.519	882684
mu+	412.664	636.756	921450
mu+	427.646	679.81	952577
mu+	479.72	590.361	977246
mu+	486.222	656.966	997475
mu+	522.325	614.167	1e+06
pi0	0.0348015	-0.0346448	22.2346
pi0	0.0347047	-0.0346357	22.2345
pi-	-4.51436	7.42548	73.1088
pi+	-4.97048	4.5494	78.275
pi-	-6.42594	4.54416	77.1301
pi-	-9.93334	4.22647	75.5116
pi-	-12.8642	3.51819	74.5417
pi-	-15.1946	3.12713	73.5367
pi-	-17.1557	3.22498	72.8811
pi-	-18.7788	3.51424	72.6835
pi-	-20.0988	3.65343	72.5235
pi-	-21.197	3.76424	72.4882
pi-	-22.0556	3.80944	72.2263
pi-	-22.6856	3.94597	71.8979
pi-	-23.1071	4.07464	71.5404
pi-	-23.4816	4.21299	71.3246
pi-	-23.7699	4.38796	71.1959
pi-	-24.0007	4.4969	71.0648
pi-	-24.1869	4.56862	70.9677
pi-	-24.3388	4.54311	70.9286
pi-	-24.3609	4.52646	70.9181
pi-	-24.3614	4.52668	70.918
pi-	-24.3614	4.52668	70.918
pi-	-49.1125	865.492	403.941
mu-	-127.319	139.775	12001.7
mu-	79.2334	686.992	21582.9
mu-	-278.84	831.024	29918.3
mu-	-501.977	576.513	37051.4
mu-	-235.703	260.309	43102.8
mu-	-128.407	771.852	47730
mu-	-417.381	401.971	50498.1
pi+	0.828997	-3.35002	66.2311
pi+	-1.88371	-4.54575	99.455
pi+	-2.59329	-1.55045	125.602
pi+	-5.14588	2.74965	146.126
pi+	-6.56676	4.02166	162.573
pi+	-6.74495	5.83939	175.893
pi+	-7.4126	7.64528	186.628
pi+	-6.74904	7.66547	193.618
pi+	-7.96984	6.94906	200.404
pi+	-9.26921	6.65196	204.754
pi0	-9.26921	6.65196	204.754
pi0	0.0347251	-0.0345772	22.2344
pi-	10.3275	-23.0486	134.136
pi-	11.1564	-24.1858	134.539
pi-	11.6628	-25	134.779
pi-	-25	23.9278	64.2132
pi-	-24.4833	23.1084	64.1827
pi-	-24.1217	22.4031	64.226
pi-	-23.9161	21.8002	64.1581
pi-	-23.8038	21.2928	64.1493
pi-	-23.7313	20.8972	64.139
pi-	-23.6351	20.5847	64.1721
pi-	-23.5312	20.3576	64.2536
pi-	-23.419	20.2019	64.2955
pi-	-23.3601	20.093	64.3247
pi-	-23.3579	20.0911	64.3264
pi-	-23.3579	20.0911	64.3264
pi-	-2.39495	-4.30593	235.111
pi-	-0.321481	-3.20083	232.773
pi-	1.26869	-2.45301	230.855
pi-	2.28286	-1.85118	229.117
pi-	3.09838	-1.2703	227.722
pi-	3.82136	-0.590927	226.707
pi-	4.31393	0.0180435	225.858
pi-	4.64711	0.631237	225.245
pi-	4.79229	1.25632	224.846
pi-	4.7767	1.73888	224.546
pi-	4.74181	2.15333	224.346
pi-	4.65688	2.47671	224.206
pi-	4.56638	2.73404	224.133
pi-	4.49961	2.93603	224.104
pi-	4.41302	3.05176	224.107
pi-	4.39614	3.06685	224.094
pi-	4.39612	3.06689	224.094
pi-	4.39612	3.06689	224.094
pi0	-5.0901	-4.93934	238.064
pi-	-17.5495	-10.7158	256.644
pi-	-23.0797	-18.0447	271.963
pi-	-25	-20.5891	278.627
pi-	38.8814	31.3835	22556
mu-	292.729	-523.867	44048
mu-	263.402	107.109	55937.3
mu-	428.289	-472.701	68054.9
mu-	268.68	142.672	79170
mu-	239.497	-349.998	90396.3
mu-	416.737	261.093	101250
mu-	54.4119	-273.192	112109
mu-	221.884	269.107	202821
mu-	107.873	-220.629	274969
mu-	387.304	148.053	333619
mu-	137.876	-226.535	379455
mu-	13.8036	-129.172	415580
mu-	326.32	149.522	445400
mu-	79.1378	152.026	469920
mu-	188.752	206.633	488884
mu-	378.238	27.3154	504183
mu-	198.922	-134.435	516640
mu-	89.2903	32.4595	526509
mu-	115.978	80.6213	534436
mu-	93.9383	19.7223	540461
mu-	275.784	73.9958	545433
mu-	243.803	104.588	549331
mu-	255.648	-53.3713	552513
mu-	255.406	59.8394	555114
mu-	272.281	36.3712	557115
mu-	224.732	-65.7851	558806
mu-	227.872	69.4544	560169
mu-	156.498	29.4999	561188
mu-	153.781	23.9047	562005
mu-	168.787	36.2435	562673
mu-	244.418	9.27216	563195
mu-	199.119	-71.331	563619
mu-	195.459	12.6296	563971
mu-	217.121	-70.6013	564252
mu-	219.608	18.5989	564475
mu-	176.893	-42.3106	564647
mu-	241.85	-64.4029	564781
mu-	259.675	-10.3997	564889
mu-	217.393	3.03635	564976
mu-	195.18	-24.5766	565048
mu-	208.381	-51.6158	565107
mu-	234.153	-54.8042	565153
mu-	249.237	-43.303	565190
mu-	253.759	-27.891	565218
mu-	250.138	-16.6974	565239
mu-	243.784	-10.7663	565257
mu-	236.999	-7.91181	565272
mu-	231.07	-7.37324	565283
mu-	226.853	-8.03794	565292
mu-	223.715	-9.1983	565300
mu-	221.818	-10.3317	565306
mu-	220.316	-11.2017	565310
mu-	219.131	-12.2576	565314
mu-	218.253	-12.9337	565317
mu-	217.628	-13.6236	565319
mu-	217.21	-14.2157	565321
mu-	217.029	-14.7615	565322
mu-	216.853	-15.1918	565323
mu-	216.777	-15.4921	565324
mu-	216.731	-15.7322	565325
mu-	216.696	-15.9186	565325
mu-	216.686	-16.0828	565326
mu-	216.699	-16.2063	565326
mu-	216.709	-16.3356	565326
mu-	216.688	-16.3838	565326
mu-	216.688	-16.3838	565326
pi+	-5.28641	-4.80435	238.136
pi+	-6.12043	-5.50232	238.536
pi+	-6.76039	-6.04351	238.97
pi+	-7.26537	-6.5071	239.299
pi+	-7.67757	-6.9035	239.504
pi+	-8.08696	-7.18818	239.61
pi+	-8.38378	-7.36472	239.813
pi+	-8.54068	-7.54708	240.011
pi+	-8.69657	-7.63644	240.176
pi+	-8.83152	-7.69107	240.282
pi+	-8.88256	-7.74972	240.312
pi+	-8.88479	-7.74989	240.311
pi+	-8.8848	-7.74989	240.311
pi+	-8.8848	-7.74989	240.311
mu+	-8.80478	-7.83123	240.29
mu+	-8.79548	-7.82821	240.299
mu+	-8.79588	-7.82852	240.3
mu+	-8.79588	-7.82852	240.3
mu+	-8.79588	-7.82852	240.3
pi0	0.126793	0.071253	-31.6532
pi-	-0.515088	1.86571	-30.1037
pi-	-0.920189	3.13539	-28.6238
pi-	-1.09782	3.90141	-27.1872
pi-	-1.40315	4.38939	-26.0431
pi-	-1.67395	4.58601	-25.0458
pi-	-1.79746	4.91019	-24.2938
pi-	-1.97679	5.14231	-23.7066
pi-	-2.0493	5.48612	-23.331
pi-	-2.22674	5.81376	-23.1896
pi-	-2.45154	6.04572	-23.1621
pi-	-2.62236	6.21752	-23.1415
pi-	-2.70667	6.36708	-23.0954
pi-	-2.73812	6.42182	-23.0722
pi-	-2.73823	6.42202	-23.072
pi-	-2.73823	6.42202	-23.072
pi0	0.126745	0.0712195	-31.6532
pi0	0.126812	0.0712491	-31.6532
pi+	17.2781	-4.6833	-31.276
pi+	25	-5.9735	-31.4206
pi+	-25	-3.85101	189.636
pi+	-12.0977	-4.1648	190.119
pi+	-1.93676	-2.78353	190.775
pi+	5.69637	-4.45803	191.793
pi+	11.9172	-5.06158	193.267
pi+	14.1534	-5.67978	193.683
pi-	17.48	7.3699	35.8007
pi-	25	12.5196	63.8178
pi-	-2140.94	2355.12	14938
mu-	-2432.03	1877.35	64651.9
mu-	268.352	1592.44	78422.4
mu-	-2476.46	1779.01	159887
mu-	-498.13	198.714	238450
mu-	-2331.81	1918.96	252306
mu-	149.721	1693.59	266236
mu-	-2057.83	432.468	279568
mu-	-1102.64	2684.14	293739
mu-	-404.155	302.153	307297
mu-	-2393.16	1766.34	321057
mu-	-10.6825	2024.12	335154
mu-	-1743.18	249.726	348487
mu-	-1565.84	2633.27	362613
mu-	-23.4406	708.413	376095
mu-	-2391.71	1291.49	389651
mu-	-324.647	2456.21	403686
mu-	-1119.76	153.24	416986
mu-	-2025.27	2317.29	430984
mu-	191.351	1467.55	444721
mu-	-2136.16	678.616	457870
mu-	-1031.89	2743.83	471852
mu-	-439.227	351.503	484927
mu-	-2367.53	1763.47	498455
mu-	-68.6137	2164.13	512259
mu-	-1502.63	212.899	525298
mu-	-2334.68	1755.21	606498
mu-	-292.143	2335.48	620293
mu-	-1819.28	463.351	713981
mu-	-1913.84	2359.75	728128
mu-	-13.5974	1688.28	741674
mu-	-1658.03	374.075	754710
mu-	-2012.46	2306.67	768484
mu-	-19.6716	1721.36	781706
mu-	-1682.97	353.338	794432
mu-	-1986.81	2339.79	807931
mu-	-1.99355	1701.86	820956
mu-	-1804.87	426.335	833384
mu-	-1953.91	2442.16	846659
mu-	-40.5993	1423.89	859289
mu-	-2065.76	538.556	871594
mu-	-1631.76	2608.47	884444
mu-	-214.801	743.83	896009
mu-	-2420.75	1783.82	906417
mu-	-68.3153	1050.7	915785
mu-	-2168.47	2212.55	924216
mu-	-907.708	286.101	931803
mu-	-544.016	2426.56	938632
mu-	-2418.86	1590.93	944778
mu-	-1038.3	241.657	950310
mu-	-2278.42	2017.4	1e+06
pi+	-1.0147	14.8757	-31.5936
pi+	-0.71862	25	-30.218
pi+	62.4228	321.727	1320.53
mu+	4.40169	-79.8903	2205.01
mu+	101.565	-403.716	3120.93
mu+	272.829	-623.454	4075.92
mu+	470.065	-757.556	5026.84
mu+	651.351	-875.64	6003.64
mu+	816.311	-892.503	6997.8
mu+	963.763	-879.722	7965.94
mu+	1090.77	-846.629	8923.11
mu+	1196.15	-803.342	9859.11
