ParticleType,Energy
2pi-,450.734
2pi-,450.734
2pi-,450.734
pi-,937.512
pi-,937.512
2pi-,918.632
2pi-,918.632
2pi-,918.632
pi-,211.056
pi-,211.056
pi-,211.056
2pi-,205.925
2pi-,205.925
2pi-,205.925
pi-,560.979
pi-,560.979
2pi-,558.724
2pi-,558.724
2pi-,558.724
pi+,330.769
pi+,330.769
pi+,330.769
2pi+,329.094
2pi+,329.094
2pi+,329.094
pi-,480.843
pi-,480.843
2pi-,478.444
2pi-,478.444
2pi-,478.444
pi+,493.093
pi+,493.093
pi+,1029.18
pi+,1029.18
pi+,261.062
pi+,261.062
pi+,261.062
2pi+,259.215
2pi+,259.215
2pi+,259.215
pi-,269.246
pi-,269.246
pi-,602.171
pi-,602.171
2pi-,600.1
2pi-,600.1
2pi-,600.1
pi+,152.202
pi+,152.202
pi+,152.202
2pi+,149.934
2pi+,149.934
2pi+,149.934
pi-,557.195
pi-,557.195
2pi-,555.44
2pi-,555.44
2pi-,555.44
pi+,370.42
pi+,370.42
pi-,371.217
pi-,371.217
2pi-,368.521
2pi-,368.521
2pi-,368.521
pi+,93.9229
pi+,93.9229
pi+,93.9229
pi-,486.431
pi-,486.431
2pi-,484.018
2pi-,484.018
2pi-,484.018
pi-,390.018
pi-,390.018
2mu-,395.946
2mu-,395.946
2mu-,395.946
pi-,283.566
pi-,283.566
pi-,283.566
2pi-,281.109
2pi-,281.109
2pi-,281.109
pi-,326.244
pi-,326.244
pi-,326.244
2pi-,323.555
2pi-,323.555
2pi-,323.555
pi-,231.716
pi-,231.716
pi-,231.716
2mu-,251.562
2mu-,251.562
2mu-,251.562
pi+,1232.15
pi+,1232.15
2pi+,1230.02
2pi+,1230.02
2pi+,1230.02
pi+,611.211
pi+,611.211
2mu+,335.373
2mu+,335.373
2mu+,335.373
pi-,192.122
pi-,192.122
pi-,278.964
pi-,278.964
pi-,278.964
2pi-,275.87
2pi-,275.87
2pi-,275.87
pi+,748.394
pi+,748.394
2pi+,746.164
2pi+,746.164
2pi+,746.164
pi+,529.377
pi+,529.377
2pi+,527.2
2pi+,527.2
2pi+,527.2
pi+,290.991
pi+,290.991
pi+,290.991
2pi+,288.647
2pi+,288.647
2pi+,288.647
mu+,168.895
mu+,168.895
mu+,168.895
pi-,433.505
pi-,433.505
pi+,252.79
pi+,252.79
pi+,252.79
2pi+,250.633
2pi+,250.633
2pi+,250.633
pi+,672.602
pi+,672.602
2pi+,670.336
2pi+,670.336
2pi+,670.336
pi+,589.564
pi+,589.564
2pi+,587.618
2pi+,587.618
2pi+,587.618
pi+,602.819
pi+,602.819
2mu+,376.408
2mu+,376.408
2mu+,376.408
pi+,180.436
pi+,180.436
pi+,180.436
2mu+,200.194
2mu+,200.194
2mu+,200.194
pi-,722.164
pi-,722.164
pi+,560.155
pi+,560.155
mu-,166.305
mu-,166.305
mu-,166.305
pi+,578.423
pi+,578.423
2pi+,576.175
2pi+,576.175
2pi+,576.175
pi-,196.027
pi-,196.027
pi-,196.027
2mu-,163.33
2mu-,163.33
2mu-,163.33
pi+,242.186
pi+,242.186
pi+,242.186
2mu+,243.891
2mu+,243.891
2mu+,243.891
pi-,428.511
pi-,428.511
2pi-,423.931
2pi-,423.931
2pi-,423.931
pi+,207.776
